City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Acarau,BR,85.46,scattered clouds,-2.8856,-40.12,castelo pizzaria
416,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
418,Marrakesh,MA,77.0,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
426,Davila,PH,78.87,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
430,Namibe,AO,77.95,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
431,Belmonte,BR,87.8,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
432,Funadhoo,MV,83.5,few clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
434,Bahia Honda,CU,77.77,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
440,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
443,Buenos Aires,AR,75.99,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
446,Puerto Colombia,CO,84.2,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
447,Witu,KE,84.2,clear sky,-2.3889,40.4382,New City Guest House
448,Port Blair,IN,79.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
449,Cayenne,GF,86.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
450,Morondava,MG,78.89,light rain,-20.2833,44.2833,La Case Bambou
453,Cidreira,BR,75.25,clear sky,-30.1811,-50.2056,Hotel Castelo
456,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
460,Natal,BR,84.2,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
463,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
472,San Juan,AR,81.99,clear sky,-31.5375,-68.5364,Hotel Provincial
473,Tecoanapa,MX,88.0,clear sky,16.5167,-98.75,Hotel Manglares
474,Sabya,SA,84.2,few clouds,17.1495,42.6254,Aseel Hotel Apartment
475,Awbari,LY,80.8,clear sky,26.5921,12.7805,فندق أوباري
476,Allapalli,IN,88.99,clear sky,19.4167,80.0667,Hotel IK Residency
477,Dalbandin,PK,83.52,clear sky,28.8947,64.4101,Sanjrani House
478,Huai Thalaeng,TH,90.0,overcast clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
480,Inirida,CO,86.43,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
481,San Felipe,VE,89.19,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
487,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
488,Barcelos,PT,75.0,clear sky,41.5388,-8.6151,Hotel Do Terço
497,Biak,ID,78.15,overcast clouds,-0.9131,122.8766,Penginapan Kim
503,Pemangkat,ID,76.93,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
504,Nouakchott,MR,89.6,sand,18.0858,-15.9785,HOTEL IMAN فندق إيمان
505,Kutum,SD,79.25,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
506,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
508,Manta,EC,84.2,scattered clouds,-0.95,-80.7333,Balandra Hotel
510,Kampot,KH,80.6,scattered clouds,10.6167,104.1833,Two Moons Hotel
520,Robore,BO,86.0,few clouds,-18.3333,-59.75,Hotel Las Lajas
521,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
523,Kasulu,TZ,75.2,light rain,-4.5767,30.1025,Nazaret lodge
525,Kingstown,VC,80.6,broken clouds,13.1587,-61.2248,Rich View Hotel
528,La Asuncion,VE,82.4,clear sky,11.0333,-63.8628,Colinas de Matasiete
529,Sisophon,KH,85.08,overcast clouds,13.5859,102.9737,Pyramid Hotel
532,Kapoeta,SS,80.17,overcast clouds,4.7717,33.5903,Eastgate Hotel
534,Manokwari,ID,78.37,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
535,Manggar,ID,80.19,scattered clouds,-2.8833,108.2667,Guest Hotel
536,Acapulco,MX,89.6,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
537,Saucillo,MX,80.58,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
538,Tondano,ID,77.0,few clouds,1.3038,124.9112,Villa Bella
539,La Union,PE,85.6,broken clouds,-5.4,-80.75,Los Portales
540,Veraval,IN,79.07,clear sky,20.9,70.3667,Lords Inn Somnath
548,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
552,Vao,NC,75.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
554,Dwarka,IN,81.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
556,Mundra,IN,81.16,clear sky,22.85,69.7333,Hotel Bansidhar Palace
559,Etchoropo,MX,80.04,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
564,Buchanan,LR,89.6,haze,5.8808,-10.0467,Kamaneahn Hotel Inc
567,Dulag,PH,76.95,scattered clouds,10.9525,125.0317,Motorcycle set cover costumize
572,Basoko,CD,76.24,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
573,Mudbidri,IN,82.4,few clouds,13.0833,74.9833,Hotel Navami Comforts
574,Cabimas,VE,85.35,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
582,Rockport,US,75.2,clear sky,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
585,Vallenar,CL,81.72,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
590,Mapiripan,CO,86.38,overcast clouds,2.8892,-72.1256,Monserrate
591,Meiganga,CM,81.16,overcast clouds,6.5167,14.3,DFR HOUSE
594,Usta Muhammad,PK,88.77,clear sky,28.1794,68.0445,Teshseel Colony
596,Brits,ZA,80.6,clear sky,-25.6347,27.7802,By Die Vlei
604,San Esteban,HN,80.6,broken clouds,15.2,-85.75,TORO MUERTO
606,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
616,Nizwa,OM,88.54,clear sky,22.9333,57.5333,Orient Apartments
619,Buala,SB,80.71,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
621,Pandan,PH,78.57,scattered clouds,14.0453,124.1694,Bonifacio Lodge
623,Maxixe,MZ,80.6,few clouds,-23.8597,35.3472,Oceano
624,Dalsingh Sarai,IN,80.8,clear sky,25.6667,85.8333,Hotel bhavya
625,Cozumel,MX,80.6,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
629,Sibolga,ID,76.69,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
